event_time,revenue_usd,uid,is_test
2023-01-01 00:17:42,0.99,14822367,0
2023-01-01 00:37:02,6.99,14822519,0
2023-01-01 01:00:20,4.99,14822607,0
2023-01-01 01:26:38,4.99,14822767,0
2023-01-01 01:27:05,19.99,14822767,0
2023-01-01 01:27:21,19.99,14822767,0
2023-01-01 01:27:33,0.99,14822767,0
2023-01-01 01:28:04,19.99,14822767,0
2023-01-01 01:35:27,4.99,14822767,0
2023-01-01 01:36:12,19.99,14822767,0
2023-01-01 01:36:23,49.99,14822767,0
2023-01-01 02:36:56,19.99,14823087,0
2023-01-01 02:37:10,19.99,14823087,0
2023-01-01 02:37:38,19.99,14823087,0
2023-01-01 02:42:22,4.99,14823117,0
2023-01-01 02:42:35,2.99,14823117,0
2023-01-01 02:43:09,6.99,14823117,0
2023-01-01 02:54:47,19.99,14823137,0
2023-01-01 03:31:49,4.99,14823359,0
2023-01-01 03:32:04,19.99,14823359,0
2023-01-01 03:32:16,19.99,14823359,0
2023-01-01 03:32:32,4.99,14823311,0
2023-01-01 03:38:58,49.99,14823393,0
2023-01-01 05:37:19,0.99,14824067,0
2023-01-01 06:25:52,0.99,14824331,0
2023-01-01 06:43:33,4.99,14823439,0
2023-01-01 06:49:51,49.99,14823439,0
2023-01-01 06:54:30,19.99,14824565,0
2023-01-01 06:54:46,19.99,14824565,0
2023-01-01 06:57:03,19.99,14824565,0
2023-01-01 07:02:56,19.99,14824565,0
2023-01-01 07:03:04,19.99,14824565,0
2023-01-01 07:03:16,4.99,14824565,0
2023-01-01 07:03:25,9.99,14824565,0
2023-01-01 07:08:59,19.99,14824565,0
2023-01-01 07:09:13,19.99,14824565,0
2023-01-01 07:09:37,19.99,14824565,0
2023-01-01 07:09:48,49.99,14824565,0
2023-01-01 07:10:01,49.99,14824565,0
2023-01-01 07:10:15,19.99,14824565,0
2023-01-01 07:11:50,19.99,14824565,0
2023-01-01 07:11:58,19.99,14824565,0
2023-01-01 07:12:15,9.99,14824565,0
2023-01-01 07:21:05,19.99,14824565,0
2023-01-01 07:21:29,19.99,14824565,0
2023-01-01 07:22:20,19.99,14824565,0
2023-01-01 07:22:37,6.99,14824565,0
2023-01-01 07:52:40,4.99,14825031,0
2023-01-01 07:52:53,19.99,14825031,0
2023-01-01 07:53:27,19.99,14825035,0
2023-01-01 07:53:34,19.99,14825031,0
2023-01-01 07:53:35,19.99,14825035,0
2023-01-01 07:53:45,2.99,14825035,0
2023-01-01 07:53:54,19.99,14825035,0
2023-01-01 08:27:08,0.99,14825245,0
2023-01-01 08:53:42,6.99,14825245,0
2023-01-01 08:54:05,4.99,14825245,0
2023-01-01 08:57:23,2.99,14825617,0
2023-01-01 09:44:17,2.99,14826091,0
2023-01-01 09:46:12,4.99,14826145,0
2023-01-01 09:46:32,4.99,14826145,0
2023-01-01 09:47:33,19.99,14826145,0
2023-01-01 09:57:35,4.99,14826215,0
2023-01-01 09:58:36,4.99,14826185,0
2023-01-01 10:08:37,19.99,14826383,0
2023-01-01 10:08:49,19.99,14826383,0
2023-01-01 10:13:20,4.99,14826431,0
2023-01-01 10:13:58,4.99,14826431,0
2023-01-01 10:14:12,19.99,14826431,0
2023-01-01 10:14:24,49.99,14826431,0
2023-01-01 10:14:36,19.99,14826431,0
2023-01-01 10:15:52,49.99,14826431,0
2023-01-01 10:15:59,49.99,14826431,0
2023-01-01 10:16:12,4.99,14826431,0
2023-01-01 10:16:20,4.99,14826431,0
2023-01-01 10:16:34,2.99,14826431,0
2023-01-01 10:16:43,6.99,14826431,0
2023-01-01 10:16:53,0.99,14826431,0
2023-01-01 10:17:04,4.99,14826431,0
2023-01-01 10:17:16,4.99,14826431,0
2023-01-01 10:38:10,19.99,14826677,0
2023-01-01 10:38:31,19.99,14826677,0
2023-01-01 10:39:04,19.99,14826677,0
2023-01-01 10:39:22,4.99,14826707,0
2023-01-01 10:52:15,19.99,14826851,0
2023-01-01 10:55:50,6.99,14826885,0
2023-01-01 10:56:08,2.99,14826885,0
2023-01-01 10:56:18,6.99,14826885,0
2023-01-01 10:56:27,49.99,14826885,0
2023-01-01 11:05:37,4.99,14826999,0
2023-01-01 11:05:53,19.99,14826999,0
2023-01-01 11:06:01,19.99,14826999,0
2023-01-01 11:22:46,49.99,14826431,0
2023-01-01 11:22:55,2.99,14826431,0
2023-01-01 11:52:18,0.99,14827117,0
2023-01-01 12:16:55,19.99,14827811,0
2023-01-01 12:17:08,19.99,14827811,0
2023-01-01 12:17:22,19.99,14827811,0
2023-01-01 12:18:31,19.99,14827811,0
2023-01-01 12:19:46,19.99,14827811,0
2023-01-01 12:20:11,19.99,14827811,0
2023-01-01 12:20:23,19.99,14827811,0
2023-01-01 12:20:47,19.99,14827811,0
2023-01-01 12:21:07,19.99,14827811,0
2023-01-01 12:27:48,4.99,14827907,0
2023-01-01 12:28:01,19.99,14827811,0
2023-01-01 12:28:54,4.99,14827907,0
2023-01-01 12:29:20,4.99,14827907,0
2023-01-01 12:29:28,4.99,14827907,0
2023-01-01 12:29:38,19.99,14827907,0
2023-01-01 12:30:05,4.99,14827907,0
2023-01-01 12:30:25,2.99,14827907,0
2023-01-01 12:30:35,6.99,14827907,0
2023-01-01 12:32:37,0.99,14823295,0
2023-01-01 12:32:45,4.99,14827907,0
2023-01-01 12:33:03,2.99,14827907,0
2023-01-01 12:33:14,4.99,14827907,0
2023-01-01 12:33:25,19.99,14827907,0
2023-01-01 12:44:48,4.99,14828145,0
2023-01-01 12:45:51,49.99,14828161,0
2023-01-01 12:46:03,19.99,14828161,0
2023-01-01 12:46:13,19.99,14828161,0
2023-01-01 13:16:34,4.99,14828509,0
2023-01-01 13:20:05,49.99,14827209,0
2023-01-01 13:36:58,19.99,14828783,0
2023-01-01 13:38:32,19.99,14828821,0
2023-01-01 13:38:46,19.99,14828821,0
2023-01-01 13:49:10,19.99,14828949,0
2023-01-01 13:53:35,2.99,14826185,0
2023-01-01 14:39:14,4.99,14829587,0
2023-01-01 14:39:31,4.99,14829587,0
2023-01-01 14:39:48,19.99,14829587,0
2023-01-01 14:39:59,19.99,14829587,0
2023-01-01 14:42:57,19.99,14829631,0
2023-01-01 14:43:11,19.99,14827811,0
2023-01-01 14:43:11,19.99,14829631,0
2023-01-01 14:43:23,19.99,14827811,0
2023-01-01 14:43:41,19.99,14829631,0
2023-01-01 14:44:52,19.99,14829631,0
2023-01-01 14:45:01,49.99,14829631,0
2023-01-01 14:45:13,6.99,14829631,0
2023-01-01 14:45:23,2.99,14829631,0
2023-01-01 14:45:35,4.99,14829631,0
2023-01-01 14:48:43,19.99,14829697,0
2023-01-01 14:48:58,19.99,14829697,0
2023-01-01 15:03:39,4.99,14829743,0
2023-01-01 15:57:49,19.99,14829587,0
2023-01-01 16:04:40,4.99,14830659,0
2023-01-01 16:04:52,19.99,14830659,0
2023-01-01 16:05:16,4.99,14830659,0
2023-01-01 16:05:44,0.99,14830659,0
2023-01-01 16:05:57,19.99,14830659,0
2023-01-01 16:06:36,19.99,14830681,0
2023-01-01 16:06:45,2.99,14830681,0
2023-01-01 16:16:42,4.99,14830681,0
2023-01-01 16:28:32,19.99,14830961,0
2023-01-01 16:30:51,4.99,14830993,0
2023-01-01 16:31:01,4.99,14830993,0
2023-01-01 16:31:39,19.99,14830993,0
2023-01-01 16:32:48,4.99,14830993,0
2023-01-01 16:42:59,4.99,14830993,0
2023-01-01 16:47:42,19.99,14830993,0
2023-01-01 17:53:59,19.99,14832043,0
2023-01-01 17:54:10,49.99,14832043,0
2023-01-01 17:54:19,49.99,14832043,0
2023-01-01 18:06:17,19.99,14832043,0
2023-01-01 18:27:46,4.99,14832451,0
2023-01-01 18:28:05,19.99,14832451,0
2023-01-01 18:47:22,4.99,14827907,0
2023-01-01 18:47:42,4.99,14827907,0
2023-01-01 18:48:05,9.99,14827907,0
2023-01-01 18:48:14,19.99,14827907,0
2023-01-01 18:48:22,9.99,14827907,0
2023-01-01 19:10:14,4.99,14823117,0
2023-01-01 19:10:27,4.99,14823117,0
2023-01-01 19:11:01,4.99,14823117,0
2023-01-01 19:14:47,6.99,14822519,0
2023-01-01 19:56:23,4.99,14833495,0
2023-01-01 19:56:46,19.99,14833495,0
2023-01-01 19:56:56,49.99,14833495,0
2023-01-01 19:57:06,19.99,14833495,0
2023-01-01 20:02:21,2.99,14833495,0
2023-01-01 20:05:38,4.99,14833575,0
2023-01-01 20:24:21,19.99,14833807,0
2023-01-01 20:56:05,19.99,14834159,0
2023-01-01 20:56:14,19.99,14834159,0
2023-01-01 20:56:23,19.99,14834159,0
2023-01-01 21:13:22,4.99,14828161,0
2023-01-01 21:29:18,19.99,14834487,0
